geometry;commune;libelle;code-postal;objectid;geo_point_2d
"{""type"": ""Point"", ""coordinates"": [3.1801341311569, 50.714825052717]}";WATTRELOS;LA POSTE SAPIN VERT;59150;1908;50.7148250527, 3.18013413116
"{""type"": ""Point"", ""coordinates"": [3.1788300891708, 50.731165566908]}";TOURCOING;LA POSTE CROIX ROUGE;59200;1742;50.7311655669, 3.17883008917
"{""type"": ""Point"", ""coordinates"": [3.0699096778465, 50.653781317004]}";LA MADELEINE;LA POSTE;59110;1133;50.653781317, 3.06990967785
"{""type"": ""Point"", ""coordinates"": [3.0756415988, 50.632602768156]}";LILLE;POSTE (CENTRE CHEQUES POSTAUX);59000;936;50.6326027682, 3.0756415988
"{""type"": ""Point"", ""coordinates"": [3.0255829057891, 50.629967274617]}";LILLE;LA POSTE BOIS BLANCS;59000;859;50.6299672746, 3.02558290579
"{""type"": ""Point"", ""coordinates"": [3.184637217735, 50.660807235009]}";HEM;LA POSTE;59510;673;50.660807235, 3.18463721774
"{""type"": ""Point"", ""coordinates"": [2.9901665558232, 50.60806075678]}";HAUBOURDIN;LA POSTE;59320;607;50.6080607568, 2.99016655582
"{""type"": ""Point"", ""coordinates"": [3.0754883534675, 50.645251998667]}";LA MADELEINE;LA POSTE;59110;5204;50.6452519987, 3.07548835347
"{""type"": ""Point"", ""coordinates"": [3.144226811171, 50.686325505026]}";WASQUEHAL;LA POSTE;59290;3837;50.686325505, 3.14422681117
"{""type"": ""Point"", ""coordinates"": [3.0070575314851, 50.763098685622]}";COMINES;LA POSTE;59560;371;50.7630986856, 3.00705753149
"{""type"": ""Point"", ""coordinates"": [3.1319443615168, 50.621385251493]}";VILLENEUVE D'ASCQ;LA POSTE;59650;80;50.6213852515, 3.13194436152
"{""type"": ""Point"", ""coordinates"": [3.2192527695818, 50.672252914826]}";LYS-LEZ-LANNOY;LA POSTE;59390;1126;50.6722529148, 3.21925276958
"{""type"": ""Point"", ""coordinates"": [3.0174860893961, 50.576181637583]}";NOYELLES;LA POSTE;59139;1300;50.5761816376, 3.0174860894
"{""type"": ""Point"", ""coordinates"": [2.8045278781986, 50.530392330735]}";LA BASSEE;LA POSTE;59480;3241;50.5303923307, 2.8045278782
