Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Coordonnee X;Coordonnee Y;Latitude;Longitude;Appariement;Localisation;Code nature uai;Nature uai;Etat établissement;Libellé état établissement;Code département;Code région;Code académie;Position
0590093F;Lycée polyvalent Beaupré - Lycée des Métiers de la Plasturgie;LPO LYCEE DES METIERS;BEAUPRE;Public;8 AVENUE DE BEAUPRE;;BP70079;59481;HAUBOURDIN CEDEX;699102.1;7055788.0;50.59916061325996;2.9873388166728185;Correcte;Numéro de rue;306;Lycée polyvalent;1;Ouvert;59;32;09;50.5991606133, 2.98733881667
0590182C;Lycée général Baudelaire;LYCEE GENERAL;BAUDELAIRE;Public;23 AVENUE LE NOTRE;;;59100;ROUBAIX;711893.8;7064746.7;50.67944482863157;3.167981577007535;Parfaite;Numéro de rue;302;Lycée d'enseignement général;1;Ouvert;59;32;09;50.6794448286, 3.16798157701
0590183D;Collège  Madame de Sévigné;COLLEGE;MADAME DE SEVIGNE;Public;20 rue JULES DEREGNAUCOURT;;;59100;ROUBAIX;711673.6;7066276.7;50.693178521110575;3.164916731917064;Parfaite;Numéro de rue;340;Collège;1;Ouvert;59;32;09;50.6931785211, 3.16491673192
0590185F;LPO Jean Moulin - Lycée des Métiers du Web - Lycée des Métiers Prévention et Sécurité - Lycée des Métiers Services Administratifs et Relation client;LPO LYCEE DES METIERS;JEAN MOULIN;Public;49 boulevard DU GENERAL DE GAULL;;BP19;59051;ROUBAIX CEDEX 1;712210.1;7065378.7;50.6851100252097;3.1724683085664966;Moyenne;Numéro de rue;306;Lycée polyvalent;1;Ouvert;59;32;09;50.6851100252, 3.17246830857
0590212K;Lycée général;LYCEE GENERAL;;Public;80  BOULEVARD GAMBETTA;;BP20500;59208;TOURCOING CEDEX;711145.4;7068494.2;50.7130865409402;3.1575171923591268;Correcte;Numéro de rue;302;Lycée d'enseignement général;1;Ouvert;59;32;09;50.7130865409, 3.15751719236
0590215N;Lycée général et technologique Sévigné - Lycée des Métiers de la Mode - Lycée des Métiers du Sanitaire et Social;LGT LYCEE DES METIERS;SEVIGNE;Public;151 RUE DE LA MALCENSE;;BP80506;59208;TOURCOING CEDEX;711621.9;7070474.8;50.730849887755625;3.164309762608626;Correcte;Numéro de rue;300;Lycée d'enseignement général et technologique;1;Ouvert;59;32;09;50.7308498878, 3.16430976261
0590217R;Lycée professionnel Sévigné - Lycée des Métiers de la Mode et des Textiles;LP LYCEE DES METIERS;SEVIGNE;Public;151  RUE DE LA MALCENSE;;BP80506;59208;TOURCOING CEDEX;711542.4;7070536.0;50.7314005112603;3.163187587479847;Correcte;Numéro de rue;320;Lycée professionnel;1;Ouvert;59;32;09;50.7314005113, 3.16318758748
0590266U;Lycée professionnel César Baggio - Lycée des Métiers des Sciences de l'Ingénieur et du Développement Durable;LP LYCEE DES METIERS;CESAR BAGGIO;Public;332  BOULEVARD D'ALSACE;;;59000;LILLE;704700.2;7057792.1;50.617129557332845;3.0663006858931907;Parfaite;Numéro de rue;320;Lycée professionnel;1;Ouvert;59;32;09;50.6171295573, 3.06630068589
0590322E;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;DES ENFANTS D'ERCAN;Public;67 RUE D'ARMENTIERES;;;59193;ERQUINGHEM LYS;689219.0;7064662.8;50.67871218940772;2.847737250301973;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6787121894, 2.8477372503
0590324G;Ecole primaire Pasteur-Curie;ECOLE PRIMAIRE PUBLIQUE;PASTEUR-CURIE;Public;58 rue Jean Jaurès;;;59155;FACHES THUMESNIL;704986.0;7056220.9;50.60302648336009;3.0703124229040415;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6030264834, 3.0703124229
