Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Coordonnee X;Coordonnee Y;Latitude;Longitude;Appariement;Localisation;Code nature uai;Nature uai;Etat établissement;Libellé état établissement;Code département;Code région;Code académie;Position
0622239X;Collège Jean de Saint Aubert;COLLEGE;JEAN DE SAINT AUBERT;Public;Rue ANDRE PANTIGNY;;;62820;LIBERCOURT;701162.6;7042629.8;50.48105884300051;3.01635525630253;Parfaite;Numéro de rue;340;Collège;1;Ouvert;62;32;09;50.481058843, 3.0163552563
0622653X;Ecole primaire privée Sacré-Coeur;ECOLE PRIMAIRE PRIVEE;SACRE COEUR;Privé;19 rue Robert Diers;;;62840;FLEURBAIX;688057.4;7061729.5;50.652368087051144;2.8314201768901155;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;62;32;09;50.6523680871, 2.83142017689
0622946R;Collège Joliot-Curie;COLLEGE;JOLIOT-CURIE;Public;RUE JOLIOT CURIE;;BP90306;62138;AUCHY LES MINES;684955.4;7046753.2;50.51789053363438;2.7882000741563964;Parfaite;Numéro de rue;340;Collège;1;Ouvert;62;32;09;50.5178905336, 2.78820007416
0622967N;Ecole primaire Cité Papillon;ECOLE PRIMAIRE PUBLIQUE;CITE PAPILLON;Public;Rue des Pâquerettes;;;62138;HAISNES;685781.1;7045116.0;50.50321460876984;2.7998827529062695;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;62;32;09;50.5032146088, 2.79988275291
0623018U;Collège Louis Pasteur;COLLEGE;LOUIS PASTEUR;Public;8 avenue JEAN MERMOZ;;BP80139;62212;CARVIN CEDEX;699336.6;7041989.4;50.47531115412596;2.990668467776574;Moyenne;Numéro de rue;340;Collège;1;Ouvert;62;32;09;50.4753111541, 2.99066846778
0623019V;Section d'enseignement général et professionnel adapté du Collège Louis Pasteur;SEGPA;CLG LOUIS PASTEUR;Public;Avenue DES SPORTS;;BP80139;62590;OIGNIES;699721.0;7041653.7;50.472298083536494;2.996075758489624;Parfaite;Numéro de rue;390;Section d'enseignement général et professionnel adapté;1;Ouvert;62;32;09;50.4722980835, 2.99607575849
0623516K;Ecole primaire Rimetz-Deparetère;ECOLE PRIMAIRE PUBLIQUE;RIMETZ-DEPARETERE;Public;9 rue William Willard;;;62880;PONT A VENDIN;692090.9;7041799.4;50.473555990309094;2.8887526754317334;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;62;32;09;50.4735559903, 2.88875267543
0623851Z;Groupe scolaire Boris Vian;ECOLE PRIMAIRE PUBLIQUE;BORIS VIAN;Public;RUE ANNE FRANK;;;62220;CARVIN;697439.0;7044313.1;50.49616424646788;2.9639614879109386;Parfaite;Rue;151;Ecole élémentaire;1;Ouvert;62;32;09;50.4961642465, 2.96396148791
0623919Y;Collège Léonard de Vinci;COLLEGE;LEONARD DE VINCI;Public;Contour DE BUQUEUX;;;62220;CARVIN;698287.9;7044386.9;50.49682958080606;2.975906930719035;Parfaite;Numéro de rue;340;Collège;1;Ouvert;62;32;09;50.4968295808, 2.97590693072
0590011S;Lycée polyvalent Gustave Eiffel;LYCEE POLYVALENT;GUSTAVE EIFFEL;Public;96 rue JULES LEBLEU;;BP111;59427;ARMENTIERES CEDEX;690866.8;7065794.6;50.68889483124139;2.8709833778625082;Correcte;Numéro de rue;306;Lycée polyvalent;1;Ouvert;59;32;09;50.6888948312, 2.87098337786
0590057S;Collège Paul Eluard;COLLEGE;PAUL ELUARD;Public;128 impasse DU COLLEGE;;;59830;CYSOING;715194.3;7052728.6;50.57151852917778;3.2141355408193397;Parfaite;Numéro de rue;340;Collège;1;Ouvert;59;32;09;50.5715185292, 3.21413554082
0590086Y;Lycée général et technologique Marguerite de Flandre;LYCEE GENERAL ET TECHNOLOGIQUE;MARGUERITE DE FLANDRE;Public;4  RUE DU MARECHAL LECLERC;;;59147;GONDECOURT;698652.0;7049535.9;50.543046637196845;2.981013207599209;Parfaite;Numéro de rue;300;Lycée d'enseignement général et technologique;1;Ouvert;59;32;09;50.5430466372, 2.9810132076
0590121L;Lycée général et technologique César Baggio - Lycée des Métiers des Sciences de l'Ingénieur;LGT LYCEE DES METIERS;CESAR BAGGIO;Public;332  BOULEVARD D'ALSACE;;;59000;LILLE;704842.9;7057783.0;50.617046797897984;3.0683134898709383;Parfaite;Numéro de rue;300;Lycée d'enseignement général et technologique;1;Ouvert;59;32;09;50.6170467979, 3.06831348987
0590133Z;Lycée professionnel Maurice Duhamel;LYCEE PROFESSIONNEL;MAURICE DUHAMEL;Public;1079 rue GUY MOCQUET;;BP119;59373;LOOS CEDEX;700809.2;7056136.1;50.602284828816316;3.0114111443230414;Correcte;Numéro de rue;320;Lycée professionnel;1;Ouvert;59;32;09;50.6022848288, 3.01141114432
0590155Y;Collège Descartes;COLLEGE;DESCARTES;Public;2 rue LAVOISIER;;;59370;MONS EN BAROEUL;707588.0;7059861.1;50.63566905566839;3.1070753221424767;Parfaite;Numéro de rue;340;Collège;1;Ouvert;59;32;09;50.6356690557, 3.10707532214
0590184E;Lycée général et technologique Jean Rostand;LYCEE GENERAL ET TECHNOLOGIQUE;JEAN ROSTAND;Public;361 grande rue;;BP90379;59057;ROUBAIX CEDEX 1;713939.8;7066626.4;50.69626993391264;3.1969442739610074;Correcte;Numéro de rue;300;Lycée d'enseignement général et technologique;1;Ouvert;59;32;09;50.6962699339, 3.19694427396
0590249A;Lycée professionnel Jacques-Yves Cousteau;LYCEE PROFESSIONNEL;JACQUES-YVES COUSTEAU;Public;27 rue PASTEUR;;BP30166;59444;WASQUEHAL CEDEX;708918.3;7063975.7;50.67257580871957;3.1259399453159507;Correcte;Numéro de rue;320;Lycée professionnel;1;Ouvert;59;32;09;50.6725758087, 3.12593994532
0590258K;Lycée général et technologique Gaston Berger;LYCEE GENERAL ET TECHNOLOGIQUE;GASTON BERGER;Public;Avenue GASTON BERGER;;CS69;59016;LILLE CEDEX;705442.8;7057406.3;50.613661155098626;3.076770451373239;Correcte;Rue;300;Lycée d'enseignement général et technologique;1;Ouvert;59;32;09;50.6136611551, 3.07677045137
0590471S;Ecole primaire Anne Frank;ECOLE PRIMAIRE PUBLIQUE;ANNE FRANK;Public;5 rue Joseph Richy;;;59112;ANNOEULLIN;695086.8;7047886.5;50.528224496228056;2.930817174941345;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.5282244962, 2.93081717494
0590505D;Ecole maternelle Jean Macé;ECOLE MATERNELLE PUBLIQUE;JEAN MACE;Public;32 rue Jean Macé;;;59280;ARMENTIERES;692052.3;7065259.7;50.68411112997947;2.8877406037605327;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.68411113, 2.88774060376
0590507F;Ecole maternelle Roger Salengro;ECOLE MATERNELLE PUBLIQUE;ROGER SALENGRO;Public;55 avenue Roger Salengro;;;59280;ARMENTIERES;690297.2;7065367.1;50.68505002902465;2.8629476406728944;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.685050029, 2.86294764067
0590606N;Ecole primaire Jules Ferry niveau 2;ECOLE PRIMAIRE PUBLIQUE;JULES FERRY NIVEAU 2;Public;Rue Jean Jaurès;;;59221;BAUVIN;692752.8;7046337.9;50.51430196409859;2.8979802983002143;Parfaite;Rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.5143019641, 2.8979802983
0590676P;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;Public;PLACE DES TROIS MAIRES;;;59280;BOIS GRENIER;691040.3;7061362.0;50.649120143154875;2.8735345384662634;Parfaite;Rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6491201432, 2.87353453847
0590842V;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;Public;1 PTE RUE PETITE RUE;;;59830;COBRIEUX;716198.2;7049604.5;50.543453766345515;3.228156360652935;Moyenne;Ville;151;Ecole élémentaire;1;Ouvert;59;32;09;50.5434537663, 3.22815636065
0590846Z;Ecole primaire Centre;ECOLE PRIMAIRE PUBLIQUE;CENTRE;Public;37 rue Pasteur;;;59560;COMINES;700619.4;7074076.6;50.76327611741552;3.008762705632344;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.7632761174, 3.00876270563
0590888V;ECOLE PRIMAIRE LUCIE AUBRAC;ECOLE ELEMENTAIRE PUBLIQUE;LUCIE AUBRAC;Public;44 rue Kléber;;;59170;CROIX;711130.1;7065209.6;50.68361282536025;3.1572085382737654;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6836128254, 3.15720853827
0590994K;Ecole primaire Paul Bert;ECOLE PRIMAIRE PUBLIQUE;DANIEL DEVENDEVILLE;Public;Place Jean Moulin;;;59710;ENNEVELIN;709047.3;7049215.8;50.54010952082338;3.1274252620716756;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.5401095208, 3.12742526207
0591134M;Ecole maternelle La Fontaine;ECOLE MATERNELLE PUBLIQUE;LA FONTAINE;Public;18 bis rue Salengro;;;59155;FACHES THUMESNIL;704879.9;7056276.7;50.60352810862383;3.0688168904279562;Correcte;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.6035281086, 3.06881689043
0591267G;Ecole maternelle de Gondecourt;ECOLE MATERNELLE PUBLIQUE;DE GONDECOURT;Public;Chemin de la Chapelle;;;59147;GONDECOURT;698863.8;7049891.2;50.54623603080471;2.983995429550436;Parfaite;Rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.5462360308, 2.98399542955
0591302V;Ecole primaire Pasteur;ECOLE PRIMAIRE PUBLIQUE;PASTEUR;Public;2 rue de Verdun;;;59152;GRUSON;714520.1;7055493.1;50.59634566749111;3.204735000143954;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.5963456675, 3.20473500014
0591318M;Ecole primaire Jean Macé;ECOLE PRIMAIRE PUBLIQUE;JEAN MACE;Public;18 rue Mirabeau;;;59496;HANTAY;690599.8;7048480.0;50.533500118177834;2.8676217566630346;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.5335001182, 2.86762175666
0591387M;Ecole maternelle Dombrowski;ECOLE MATERNELLE PUBLIQUE;DOMBROWSKI;Public;PLACE DOMBROWSKI;;;59260;LILLE;707672.9;7059526.8;50.632667923760735;3.108266888297449;Correcte;Rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.6326679238, 3.1082668883
0591395W;Ecole primaire Victor Hugo;ECOLE PRIMAIRE PUBLIQUE;VICTOR HUGO;Public;Parc de la Mairie;;;59510;HEM;713117.5;7062089.1;50.65557151120463;3.18517636862412;Moyenne;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6555715112, 3.18517636862
0591481P;Ecole primaire Watteau niveau 1;ECOLE PRIMAIRE PUBLIQUE;WATTEAU NIVEAU 1;Public;6 rue Kléber;;;59130;LAMBERSART;702669.4;7061360.0;50.6491608675066;3.037678387150558;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6491608675, 3.03767838715
0591486V;Ecole primaire Pasteur;ECOLE PRIMAIRE PUBLIQUE;PASTEUR;Public;7 rue Gustave Nadaud;;;59130;LAMBERSART;700905.3;7061774.2;50.65288297210282;3.0127791907910777;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6528829721, 3.01277919079
0591524L;Ecole primaire Jules Ferry niveau 2;ECOLE PRIMAIRE PUBLIQUE;JULES FERRY NIVEAU 2;Public;107  RUE JEAN BAPTISTE DEFAUX;;;59260;LEZENNES;707912.6;7057610.0;50.61546282387546;3.1116108922623167;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6154628239, 3.11161089226
0591578V;Ecole primaire Anatole France;ECOLE PRIMAIRE PUBLIQUE;ANATOLE FRANCE;Public;13 rue Alphonse Leroy;;;59800;LILLE;706375.5;7061525.8;50.65062187788511;3.089992354538887;Correcte;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6506218779, 3.08999235454
0591584B;Ecole primaire Boufflers-Monge niv1 Laur.;ECOLE PRIMAIRE PUBLIQUE;BOUFFLERS-MONGE NIV1 GPE LAUR.;Public;11  RUE SAINT-SAUVEUR;;;59800;LILLE;705053.7;7059482.3;50.632295296260544;3.071308659911979;Correcte;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6322952963, 3.07130865991
0591587E;Ecole maternelle Suzanne Lacore;ECOLE MATERNELLE PUBLIQUE;SUZANNE LACORE;Public;16 rue Bohin;;;59000;LILLE;706896.2;7059439.7;50.631895337387284;3.0973059187932606;Correcte;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.6318953374, 3.09730591879
0591590H;Ecole maternelle La Fontaine;ECOLE MATERNELLE PUBLIQUE;LA FONTAINE;Public;95 bis rue Saint Gabriel;;;59800;LILLE;706124.1;7060409.2;50.64060391305378;3.0864265097515577;Correcte;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.6406039131, 3.08642650975
0591613H;Ecole régionale du premier degré Ernest Couteaux;EC.REGIONALE DU PREMIER DEGRE;ERNEST COUTEAUX;Public;6 rue Saint Bernard;;;59000;LILLE;702938.5;7058228.6;50.62105769641286;3.041453509715241;Parfaite;Numéro de rue;169;Ecole régionale du premier degré;1;Ouvert;59;32;09;50.6210576964, 3.04145350972
0591615K;Ecole maternelle Jean Jaurès;ECOLE MATERNELLE PUBLIQUE;JEAN JAURES;Public;6 rue Guillaume Tell;;;59000;LILLE;701963.5;7059536.2;50.63279639741667;3.027705628477974;Correcte;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.6327963974, 3.02770562848
0591616L;Ecole maternelle Beranger-Hachette;ECOLE MATERNELLE PUBLIQUE;BERANGER-HACHETTE;Public;4 rue Léon Blum;;;59000;LILLE;702563.4;7057994.5;50.618958432508485;3.036160450950839;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.6189584325, 3.03616045095
0591619P;Ecole maternelle Jean-Jacques Rousseau;ECOLE MATERNELLE PUBLIQUE;JEAN-JACQUES ROUSSEAU;Public;6 rue du Lieutenant Colpin;;;59000;LILLE;703862.9;7060616.2;50.642479674747534;3.054517299948614;Correcte;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.6424796747, 3.05451729995
0591663M;Ecole maternelle Paul Langevin;ECOLE MATERNELLE PUBLIQUE;PAUL LANGEVIN;Public;263 avenue Notebart;;;59160;LILLE;700958.2;7059296.5;50.630647614238505;3.013519937336491;Correcte;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.6306476142, 3.01351993734
0620070P;Lycée général et Technologique Diderot;LYCEE GENERAL ET TECHNOLOGIQUE;DIDEROT;Public;ESPLANADE ALFRED PEUGNET;;BP80059;62211;CARVIN CEDEX;696275.4;7043722.4;50.49085621772703;2.9475927750997655;Moyenne;Numéro de rue;300;Lycée d'enseignement général et technologique;1;Ouvert;62;32;09;50.4908562177, 2.9475927751
0620358C;Ecole maternelle;ECOLE MATERNELLE PUBLIQUE;PIERRE PERRET;Public;182  ROUTE DE LENS;CITE 13;;62138;HAISNES;686424.8;7044186.7;50.494887524637534;2.808973811498785;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;62;32;09;50.4948875246, 2.8089738115
0620376X;Ecole maternelle Vincent Auriol;ECOLE MATERNELLE PUBLIQUE;AURIOL-JOLY;Public;1 BIS RUE DES FRERES BUISINE;;;62410;WINGLES;689028.7;7043765.1;50.49115432781492;2.8456266140366213;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;62;32;09;50.4911543278, 2.84562661404
0620377Y;Ecole maternelle Léon Blum;ECOLE MATERNELLE PUBLIQUE;LEON BLUM;Public;Rue Albert Camus;;;62410;WINGLES;690547.9;7044294.6;50.49593197765796;2.866990160667272;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;62;32;09;50.4959319777, 2.86699016067
0621471M;Ecole primaire Marie Curie;ECOLE PRIMAIRE PUBLIQUE;MARIE CURIE;Public;14 rue Jules Ferry;;;62138;DOUVRIN;687917.6;7045574.5;50.507375019730404;2.8299379223675136;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;62;32;09;50.5073750197, 2.82993792237
0621536H;Ecole primaire Sophie Berthelot;ECOLE PRIMAIRE PUBLIQUE;SOPHIE BERTHELOT;Public;Rue des Meuniers;;;62410;WINGLES;689319.1;7043968.1;50.492981504451926;2.8497072858820838;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;62;32;09;50.4929815045, 2.84970728588
0591713S;Ecole primaire Paul Bert niveau 1;ECOLE PRIMAIRE PUBLIQUE;PAUL BERT NIVEAU 1;Public;75 rue Paul Bert;;;59390;LYS LEZ LANNOY;715047.6;7063868.9;50.67149954326668;3.212490582067779;Correcte;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6714995433, 3.21249058207
0591719Y;Ecole primaire Victor Hugo;ECOLE PRIMAIRE PUBLIQUE;VICTOR HUGO;Public;43  RUE DES GANTOIS;;;59110;LA MADELEINE;704621.6;7061679.9;50.652020246845666;3.0652372690003418;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6520202468, 3.065237269
0591790A;Ecole primaire Jules Ferry-Paul Bert;ECOLE PRIMAIRE PUBLIQUE;PAUL BERT;Public;8 rue du Docteur Fleming;;;59520;MARQUETTE LEZ LILLE;704288.5;7064574.6;50.677999228867975;3.0605666619457725;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6779992289, 3.06056666195
0591875T;Ecole primaire Sévigné;ECOLE PRIMAIRE PUBLIQUE;SEVIGNE;Public;1 RUE JEANNE D ARC;;;59370;MONS EN BAROEUL;707272.7;7060841.2;50.64446840295199;3.1026440633241124;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.644468403, 3.10264406332
0591928A;Ecole primaire Suzanne Crapet;ECOLE PRIMAIRE PUBLIQUE;SUZANNE CRAPET;Public;25 RUE PAVE FRUIT;;;59850;NIEPPE;689834.7;7066806.7;50.69796087954063;2.8563778420018475;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6979608795, 2.856377842
0591979F;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;Public;7 RUE DE LA FETERIE;;;59320;RADINGHEM EN WEPPES;693256.8;7058371.0;50.62230612390492;2.904871087735944;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6223061239, 2.90487108774
0592084V;Ecole primaire Montesquieu;ECOLE PRIMAIRE PUBLIQUE;MONTESQUIEU;Public;89 rue d'Hem;;;59100;ROUBAIX;712704.0;7064959.0;50.681333935216685;3.1794311774737904;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6813339352, 3.17943117747
0592096H;Ecole primaire Ernest Renan;ECOLE PRIMAIRE PUBLIQUE;ERNEST RENAN;Public;56 rue Beaurewaert;;;59100;ROUBAIX;713056.5;7065815.0;50.68900801321095;3.1844381060406093;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6890080132, 3.18443810604
0592100M;Ecole maternelle Edouard Vaillant;ECOLE MATERNELLE PUBLIQUE;EDOUARD VAILLANT;Public;50 rue Edouard Vaillant;;;59100;ROUBAIX;712393.3;7064362.7;50.6759892073186;3.1750242000796876;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.6759892073, 3.17502420008
0592102P;Ecole maternelle Lavoisier;ECOLE MATERNELLE PUBLIQUE;LAVOISIER;Public;2 rue Jules Guesde;;;59100;ROUBAIX;712801.7;7064991.1;50.681619988154615;3.1808121247272108;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.6816199882, 3.18081212473
0592137C;Ecole primaire Georges Brassens;ECOLE PRIMAIRE PUBLIQUE;GEORGES BRASSENS;Public;Rue de la Liberté;;;59184;SAINGHIN EN WEPPES;693108.1;7051772.9;50.56308785995271;2.9028877988227357;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.56308786, 2.90288779882
0592212J;Ecole maternelle La Buissonnière;ECOLE MATERNELLE PUBLIQUE;LA BUISSONNIERE;Public;90 rue Pasteur;;;59496;SALOME;688551.7;7048350.7;50.5323054013186;2.838783194975946;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.5323054013, 2.83878319498
0592340Y;Ecole maternelle Edouard Herriot;ECOLE MATERNELLE PUBLIQUE;EDOUARD HERRIOT;Public;207 chaussée Watt;;;59200;TOURCOING;709623.5;7069604.0;50.723070298834315;3.136035348806478;Correcte;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.7230702988, 3.13603534881
0592341Z;Ecole maternelle Lamartine;ECOLE MATERNELLE PUBLIQUE;LAMARTINE;Public;14 place de la Croix Rouge;;;59200;TOURCOING;712824.5;7070585.1;50.73181598668764;3.1813155769561123;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.7318159867, 3.18131557696
0592342A;Ecole maternelle Pasteur;ECOLE MATERNELLE PUBLIQUE;PASTEUR;Public;19 rue du Virolois;;;59200;TOURCOING;712432.9;7069816.6;50.7249281979536;3.1757548855583053;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.724928198, 3.17575488556
0592346E;Ecole primaire Paul Claudel;ECOLE PRIMAIRE PUBLIQUE;PAUL CLAUDEL;Public;8 rue du Roitelet;;;59200;TOURCOING;712271.7;7071283.4;50.738092900152594;3.1735216912322577;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.7380929002, 3.17352169123
0592358T;Ecole maternelle Paul Bert;ECOLE MATERNELLE PUBLIQUE;PAUL BERT;Public;41 rue Jourdan;;;59200;TOURCOING;710945.4;7069976.0;50.72638642884231;3.1547316504379452;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.7263864288, 3.15473165044
0592361W;Ecole maternelle Paul Claudel;ECOLE MATERNELLE PUBLIQUE;PAUL CLAUDEL;Public;251 rue du Pont de Neuville;;;59200;TOURCOING;712189.4;7071167.5;50.737054563624454;3.172354396805889;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.7370545636, 3.17235439681
0592373J;Ecole primaire Jules Ferry niveau 1;ECOLE PRIMAIRE PUBLIQUE;JULES FERRY NIVEAU 1;Public;6 rue de la Potente;;;59200;TOURCOING;712777.2;7070523.7;50.73126602127661;3.180644855636768;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.7312660213, 3.18064485564
0592520U;Ecole primaire Jean Macé;ECOLE PRIMAIRE PUBLIQUE;JEAN MACE;Public;10  RUE JULES FERRY;;;59139;WATTIGNIES;703529.8;7055518.6;50.596733480577115;3.049770898130299;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.5967334806, 3.04977089813
0592540R;Ecole maternelle Lavoisier;ECOLE MATERNELLE PUBLIQUE;LAVOISIER;Public;5 rue Lavoisier;;;59150;WATTRELOS;714426.1;7067074.0;50.700275343619694;3.203831111290163;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.7002753436, 3.20383111129
0592541S;Ecole maternelle Mousserie-Jean Zay;ECOLE MATERNELLE PUBLIQUE;MOUSSERIE-JEAN ZAY;Public;13 rue Alfred Delecourt;;;59150;WATTRELOS;712737.2;7068622.2;50.714204579502855;3.180018046331836;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.7142045795, 3.18001804633
0592628L;Ecole maternelle Georges Melies;ECOLE MATERNELLE PUBLIQUE;GEORGES MELIES;Public;27  RUE DESIRE DESMETTRE;;;59700;MARCQ EN BAROEUL;706932.1;7062202.7;50.6566904348591;3.0978607868596266;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.6566904349, 3.09786078686
0592643C;Ecole élémentaire Marcelle Detaille;ECOLE ELEMENTAIRE PUBLIQUE;MARCELLE DETAILLE;Public;123 rue Emile Dellette;;;59290;WASQUEHAL;709438.8;7064484.2;50.67713127205868;3.133302304926288;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6771312721, 3.13330230493
0592657T;Ecole maternelle Marie Curie;ECOLE MATERNELLE PUBLIQUE;MARIE CURIE;Public;Rue Pierre et Marie Curie;;;59390;LYS LEZ LANNOY;714624.3;7064310.8;50.67547510319367;3.2065294155172497;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.6754751032, 3.20652941552
0592660W;Ecole maternelle Reine Astrid;ECOLE MATERNELLE PUBLIQUE;REINE ASTRID;Public;43 bis rue Lacordaire;;;59370;MONS EN BAROEUL;707637.3;7060238.2;50.639052628848894;3.107778263643507;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.6390526288, 3.10777826364
0592681U;Ecole maternelle Paul Godin;ECOLE MATERNELLE PUBLIQUE;PAUL GODIN;Public;Place Corneille;;;59320;SEQUEDIN;698987.5;7059116.8;50.62903484329491;2.985714363395603;Correcte;Rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.6290348433, 2.9857143634
0592682V;Ecole primaire Hélène Boucher;ECOLE PRIMAIRE PUBLIQUE;EXPERIMENTALE HELENE BOUCHER;Public;41 rue Vincent de Paul;;;59370;MONS EN BAROEUL;708039.0;7060152.4;50.638277593194076;3.1134453429419913;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6382775932, 3.11344534294
0592714E;Collège Mendès France;COLLEGE;MENDES-FRANCE;Public;19 rue DE SOISSONS;;BP80349;59203;TOURCOING CEDEX;713401.4;7071057.1;50.73603904171261;3.189487898174909;Correcte;Numéro de rue;340;Collège;1;Ouvert;59;32;09;50.7360390417, 3.18948789817
0592812L;Ecole maternelle Jean Mermoz;ECOLE MATERNELLE PUBLIQUE;JEAN MERMOZ;Public;6 rue des Bouleaux;;;59650;VILLENEUVE D ASCQ;710378.2;7057998.7;50.61891505135497;3.1463994186893327;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.6189150514, 3.14639941869
0592815P;Ecole primaire Jacques Brel - Georges Brassens;ECOLE PRIMAIRE PUBLIQUE;JACQUES BREL - GEORGES BRASSEN;Public;110 rue de l'Apothicaire;;;59560;COMINES;700646.2;7073188.0;50.75530305449535;3.0091403923757465;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.7553030545, 3.00914039238
0592825A;Ecole primaire Albert Camus;ECOLE PRIMAIRE PUBLIQUE;ALBERT CAMUS;Public;37 rue Jules Verne;;;59100;ROUBAIX;713043.1;7066013.2;50.690786840571384;3.184255349491516;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6907868406, 3.18425534949
0592830F;Collège Jean Zay;COLLEGE;JEAN ZAY;Public;22 rue JEAN BAPTISTE CLEMENT;;BP19;59155;FACHES THUMESNIL;704509.3;7056688.2;50.60722396126844;3.0635953241963105;Parfaite;Numéro de rue;340;Collège;1;Ouvert;59;32;09;50.6072239613, 3.0635953242
